x,y,z
0.123081426,2.703092761,0.025
24.44410589,1.968931864,0.025
16.26605442,13.57948637,0.025
11.30029041,13.37438947,0.025
10.79813297,2.553355518,0.025
5.242660904,5.415931561,0.025
20.59902951,12.16777972,0.025
18.61528618,13.81893156,0.025
23.4398752,19.24136788,0.025
0.110237828,0.600855067,0.025
24.78441981,1.546287571,0.025
0.984036191,18.66677727,0.025
13.7708149,23.48508696,0.025
1.269499475,13.83582085,0.025
23.64018297,3.456985371,0.025
4.818674193,18.15419986,0.025
12.10799363,24.77098754,0.025
11.32767357,0.396367915,0.025
20.50728014,14.32151777,0.025
10.60368119,15.48318183,0.025
8.623836573,9.86879676,0.025
4.24975045,15.08250658,0.025
7.298279651,7.300799664,0.025
3.811581524,22.63162253,0.025
7.306419399,9.545626003,0.025
17.89704947,10.30956917,0.025
12.01729471,2.105541225,0.025
7.096604586,13.36601274,0.025
13.20012988,16.83399102,0.025
10.60289751,11.39880828,0.025
17.86047689,0.15337185,0.025
18.75093618,24.69830894,0.025
7.627784672,15.5578159,0.025
8.536915771,11.38566428,0.025
3.622418875,16.66201827,0.025
0.707351796,18.53392923,0.025
1.526201879,4.444123668,0.025
21.33528056,24.07308034,0.025
11.19193531,12.63992407,0.025
15.59094544,3.547135687,0.025
22.37123467,13.95010208,0.025
23.2965335,18.34822455,0.025
18.61511909,2.696277429,0.025
1.752975328,20.57613035,0.025
4.344961105,21.48581539,0.025
20.10290251,2.162953641,0.025
12.25152203,21.65039547,0.025
5.338006625,21.0564096,0.025
8.077211165,8.689204773,0.025
12.76182099,7.385656774,0.025
20.86342959,4.387515309,0.025
24.91045889,11.33724939,0.025
0.467060445,10.50646981,0.025
12.18414155,10.53440897,0.025
13.71667937,16.23279795,0.025
2.643576048,13.30803866,0.025
8.555196091,18.16577169,0.025
1.397153568,21.97021496,0.025
22.50115058,3.936139096,0.025
4.387790744,6.129939614,0.025
2.954051736,7.26606081,0.025
19.06506054,16.49159859,0.025
13.85783984,0.536493823,0.025
11.80717808,7.389649418,0.025
22.85391913,0.178674996,0.025
22.84375967,24.1787266,0.025
19.05595999,7.106004535,0.025
17.73350046,16.95312625,0.025
23.99096432,5.503081047,0.025
24.50839085,9.402903345,0.025
11.12501981,6.223544318,0.025
11.54795625,17.66589657,0.025
14.06690143,16.89902625,0.025
21.87384487,6.138278961,0.025
3.577313009,20.60324012,0.025
15.00030544,21.91648753,0.025
3.379803829,6.65478742,0.025
2.137810032,4.482214424,0.025
17.1699987,11.11168911,0.025
8.454435028,5.166713619,0.025
15.41989854,17.44717314,0.025
6.277313429,5.94564055,0.025
24.27186952,19.81665895,0.025
0.046017651,19.18365448,0.025
8.666543459,23.54633556,0.025
18.23748049,6.482627373,0.025
7.255007898,11.49107138,0.025
13.1644616,5.353573059,0.025
11.42457707,17.94650378,0.025
2.477453929,17.01965921,0.025
3.124879413,3.650531015,0.025
2.936616994,19.3611796,0.025
18.74022573,5.962006976,0.025
3.138544602,10.41224739,0.025
21.39611199,11.32461693,0.025
10.96310224,8.255737974,0.025
18.79707734,7.338948617,0.025
10.20355171,9.314861456,0.025
16.23163982,12.71653179,0.025
20.19645442,19.17454131,0.025
8.647682447,21.31491909,0.025
18.61876548,14.08985956,0.025
11.09270161,0.923132562,0.025
6.98360149,1.243104073,0.025
11.57385639,20.35310565,0.025
7.293094859,7.373463068,0.025
1.644902663,17.25670525,0.025
4.657329779,1.234118335,0.025
23.20339185,0.682205864,0.025
23.65679962,24.79090267,0.025
4.324180165,0.34590206,0.025
7.958714794,24.35978505,0.025
22.22398979,8.489178072,0.025
9.13745505,17.11964908,0.025
1.953482222,19.27504868,0.025
5.520509736,19.59545857,0.025
4.154325816,15.5200549,0.025
7.379178878,17.90257144,0.025
10.34760438,0.770057083,0.025
22.79809193,17.77171714,0.025
6.250046102,16.35375481,0.025
4.028150623,17.76710856,0.025
1.116763434,18.3253423,0.025
3.503722618,23.09433295,0.025
15.5535111,21.47232593,0.025
15.81841784,23.15294081,0.025
18.31560534,16.49231533,0.025
15.79073594,15.24757542,0.025
12.8087679,0.718677655,0.025
13.23719178,24.81509978,0.025
16.43515113,1.294062954,0.025
20.36189657,3.901384085,0.025
0.458902712,8.089157237,0.025
7.448578094,23.40631459,0.025
7.573648679,4.85061256,0.025
19.63731147,23.68207311,0.025
9.223836875,7.388127351,0.025
12.57308563,6.220147926,0.025
7.237027336,15.0063014,0.025
8.796627706,21.14675035,0.025
18.92352131,7.20699304,0.025
16.31146699,6.415218946,0.025
24.01063521,4.334527585,0.025
21.78142906,13.00062984,0.025
21.41571299,19.05705419,0.025
22.98648942,14.02223856,0.025
19.16541287,13.14578086,0.025
0.651512489,20.00351657,0.025
24.91594707,20.68097027,0.025
11.01774773,3.342602106,0.025
0.499675774,1.142422345,0.025
24.7446958,1.798170196,0.025
12.04494131,23.06656757,0.025
20.72021829,16.46546154,0.025
15.60278374,10.02211845,0.025
18.51482861,5.261091432,0.025
0.359091632,24.70526958,0.025
24.36711915,24.83172348,0.025
11.08513244,22.07331707,0.025
22.00833381,20.35416272,0.025
4.220288678,19.48703785,0.025
6.178610103,23.20310503,0.025
16.57456477,23.45787188,0.025
24.65630635,0.41049624,0.025
24.89626328,24.68739196,0.025
0.074997323,24.14878135,0.025
15.69185724,9.808052522,0.025
14.62701278,8.97096371,0.025
4.626184476,16.69114067,0.025
21.1272216,2.339472762,0.025
20.68622841,20.59788157,0.025
16.36767638,11.16401998,0.025
16.61425478,9.752609137,0.025
4.161935567,15.56892626,0.025
16.42354708,14.99235598,0.025
6.540586613,7.177922915,0.025
20.31914437,6.965139344,0.025
17.15923298,5.877788495,0.025
13.33387484,4.362741305,0.025
18.37866344,5.020918336,0.025
18.30566512,22.21042312,0.025
5.201003623,22.51544599,0.025
15.58711744,11.96334484,0.025
12.0710844,24.39935162,0.025
11.87566695,0.380071773,0.025
22.69106659,7.406068074,0.025
17.33356881,2.90591193,0.025
23.80691866,20.50005845,0.025
24.29094617,5.942425239,0.025
0.009611799,6.637781059,0.025
14.50204705,9.267454236,0.025
